Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero
289,55647.34561,58998.36925,61977.59787,64255.99742,8700,0
290,53655.48787,56886.56397,59759.15319,61955.99902,8700,0
291,52728.12801,55903.35949,58726.30003,60885.17646,8700,0
292,52286.02574,55434.63429,58233.90571,60374.68091,8700,0
293,52921.84745,56108.7445,58942.05633,61108.86433,8700,0
294,54515.71724,57798.59543,60717.23932,62949.30598,8700,0
295,57252.72348,60700.42126,63765.59805,66109.72746,8700,0
296,60665.82973,64319.06111,67566.96763,70050.8417,8700,0
297,63726.02136,67563.53421,70975.27622,73584.44538,8700,0
298,63116.09285,66916.87646,70295.96433,72880.16085,8700,0
299,61232.60292,64919.96478,68198.215,70705.29478,8700,0
300,58989.48533,62541.76905,65699.92801,68115.1666,8700,0
301,55819.00788,59180.36884,62168.78785,64454.21586,8700,0
302,58187.7554,61691.7598,64806.99601,67189.40894,8700,0
303,59970.54958,63581.91194,66792.59478,69248.00162,8700,0
304,61890.48179,65617.46041,68930.93193,71464.9476,8700,0
305,64979.44363,68892.43623,72371.28354,75031.77225,8700,0
306,66111.072,70092.21005,73631.64209,76338.46368,8700,0
307,66090.93285,70070.85814,73609.21198,76315.209,8700,0
308,64699.41356,68595.54305,72059.3982,74708.42149,8700,0
309,63024.02817,66819.26774,70193.42668,72773.85375,8700,0
310,61585.51753,65294.13153,68591.27598,71112.80532,8700,0
311,60159.47398,63782.21316,67003.01058,69466.15265,8700,0
312,59450.76774,63030.82939,66213.68433,68647.80946,8700,0
313,64507.61214,68392.19155,71845.7781,74486.94836,8700,0
314,62368.06732,66123.80563,69462.84596,72016.41567,8700,0
315,60978.46604,64650.52405,67915.16838,70411.84289,8700,0
316,60300.44802,63931.67651,67160.02134,69628.93539,8700,0
317,60843.24604,64507.16124,67764.56621,70255.70434,8700,0
318,62144.61866,65886.90113,69213.97854,71758.39947,8700,0
319,65609.51129,69560.44589,73073.02554,75759.31146,8700,0
320,71055.71258,75334.6116,79138.76812,82048.04082,8700,0
321,78182.09429,82890.13639,87075.82271,90276.87473,8700,0
322,79186.17472,83954.68147,88194.1239,91436.28654,8700,0
323,77637.37826,82312.61815,86469.14164,89647.89106,8700,0
324,75166.01698,79692.43413,83716.64673,86794.20986,8700,0
325,70618.40534,74870.97018,78651.7143,81543.08209,8700,0
326,72023.35073,76360.51988,80216.48148,83165.37272,8700,0
327,74066.99485,78527.23007,82492.60359,85525.16885,8700,0
328,76223.8018,80813.91762,84894.76154,88015.63413,8700,0
329,78239.63471,82951.14183,87139.90873,90343.31666,8700,0
330,77038.95783,81678.16148,85802.64694,88956.89491,8700,0
331,74917.63414,79429.09394,83440.0087,86507.40216,8700,0
332,72573.82081,76944.13868,80829.57116,83801.00059,8700,0
333,70498.52946,74743.87551,78518.20175,81404.66139,8700,0
334,68159.51116,72264.00403,75913.1047,78703.79665,8700,0
335,66412.20023,70411.4719,73967.02564,76686.17648,8700,0
336,66786.213,70808.00732,74383.58483,77118.04908,8700,0
