Time_Index,Demand_Zero ,Demand_Electricity,Demand_Hydrogen,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal 
259,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
260,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
261,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
262,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
263,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
264,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
265,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
266,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
267,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
268,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
269,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
270,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
271,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
272,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
273,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
274,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
275,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
276,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
277,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
278,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
279,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
280,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
281,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
282,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
283,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
284,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
285,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
286,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
287,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
288,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
289,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
290,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
291,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
292,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
293,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
294,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
295,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
296,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
297,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
298,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
299,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
300,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
301,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
302,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
303,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
304,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
305,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
306,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
307,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
308,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
309,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
310,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
311,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
312,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
313,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
314,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
315,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
316,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
317,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
318,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
319,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
320,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
321,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
322,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
323,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
324,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
325,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
326,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
327,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
328,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
329,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
330,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
331,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
332,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
333,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
334,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
335,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
336,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
337,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
338,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
339,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
340,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
341,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
342,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
343,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
344,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
345,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
346,0,10000,10000,758000,124000,24140934,2345027,5065258,3103983,7055612,11625
