Type,id,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--can_retire,edges--transmission_edge--can_expand,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--lifetime,edges--transmission_edge--wacc,edges--transmission_edge--investment_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--fixed_om_cost
OneWayTransmissionLink,JNB_to_DJJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNB,elec_DJJ,62.251,0.03,100000,11943.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,JNB_to_GNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNB,elec_GNA,107.496,0.03,100000,2173.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,JNB_to_JNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNB,elec_JNA,126.075,0.03,100000,4749.5,50,0.08,443637.83,1,100
OneWayTransmissionLink,JNB_to_KWJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_JNB,elec_KWJ,78.601,0.03,100000,5393.2,50,0.08,443637.83,1,100
OneWayTransmissionLink,KWJ_to_JNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_KWJ,elec_JNA,52.132,0.03,100000,5793.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,KWJ_to_JNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_KWJ,elec_JNB,78.601,0.03,100000,5661.2,50,0.08,443637.83,1,100
OneWayTransmissionLink,PUS_to_GNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_PUS,elec_GNA,84.251,0.03,100000,4050.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,PUS_to_USN_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_PUS,elec_USN,45.266,0.03,100000,7859.6,50,0.08,443637.83,1,100
OneWayTransmissionLink,SEL_to_GGI_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SEL,elec_GGI,50.603,0.03,100000,11590.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,SEL_to_INC_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SEL,elec_INC,27.002,0.03,100000,5385.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,SJG_to_CNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SJG,elec_CNA,43.918,0.03,100000,1356.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,SJG_to_CNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SJG,elec_CNB,25.039,0.03,100000,1413.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,SJG_to_DJJ_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SJG,elec_DJJ,16.754,0.03,100000,1769.4,50,0.08,443637.83,1,100
OneWayTransmissionLink,TAE_to_GNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_TAE,elec_GNA,57.588,0.03,100000,5426.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,TAE_to_GNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_TAE,elec_GNB,73.663,0.03,100000,4900.4,50,0.08,443637.83,1,100
OneWayTransmissionLink,TAE_to_USN_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_TAE,elec_USN,74.033,0.03,100000,2173.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,USN_to_GNA_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_USN,elec_GNA,99.791,0.03,100000,4139.3,50,0.08,443637.83,1,100
OneWayTransmissionLink,USN_to_GNB_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_USN,elec_GNB,112.628,0.03,100000,6759.0,50,0.08,443637.83,1,100
OneWayTransmissionLink,USN_to_PUS_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_USN,elec_PUS,45.266,0.03,100000,7851.4,50,0.08,443637.83,1,100
OneWayTransmissionLink,USN_to_TAE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_USN,elec_TAE,74.033,0.03,100000,2173.0,50,0.08,443637.83,1,100
