from_bus,to_bus,id,name,r_pu,x_pu,b_pu,g_from_pu,b_from_pu,g_to_pu,b_to_pu,rate_a_mva,rate_b_mva,rate_c_mva,length_km,in_service
20112,20113,2,345osm_창원_345-신김해_345_2,0.000412,0.004422,0.093198,0.0,0.0,0.0,0.0,2000,2200,2500,15.85,1
20059,20113,1,345osm_신녹산_345-신김해_345_1,0.000429,0.004601,0.096961,0.0,0.0,0.0,0.0,2000,2200,2500,16.49,1
20059,20113,2,345osm_신녹산_345-신김해_345_2,0.000429,0.004601,0.096961,0.0,0.0,0.0,0.0,2000,2200,2500,16.49,1
20015,20065,1,345osm_신광명_345-신인천_345_1,0.000436,0.004682,0.098666,0.0,0.0,0.0,0.0,2000,2200,2500,16.78,1
20015,20065,2,345osm_신광명_345-신인천_345_2,0.000436,0.004682,0.098666,0.0,0.0,0.0,0.0,2000,2200,2500,16.78,1
20013,20034,1,345osm_신성남_345-서서울_345_1,0.00044,0.004718,0.099431,0.0,0.0,0.0,0.0,2000,2200,2500,16.91,1
20013,20034,2,345osm_신성남_345-서서울_345_2,0.00044,0.004718,0.099431,0.0,0.0,0.0,0.0,2000,2200,2500,16.91,1
20013,20034,3,345osm_신성남_345-서서울_345_3,0.00044,0.004718,0.099431,0.0,0.0,0.0,0.0,2000,2200,2500,16.91,1
20013,20034,4,345osm_신성남_345-서서울_345_4,0.00044,0.004718,0.099431,0.0,0.0,0.0,0.0,2000,2200,2500,16.91,1
20035,20068,1,345osm_화성_345-신안산_345_1,0.000454,0.004871,0.102665,0.0,0.0,0.0,0.0,2000,2200,2500,17.46,1
20035,20068,2,345osm_화성_345-신안산_345_2,0.000454,0.004871,0.102665,0.0,0.0,0.0,0.0,2000,2200,2500,17.46,1
20035,20068,3,345osm_화성_345-신안산_345_3,0.000454,0.004871,0.102665,0.0,0.0,0.0,0.0,2000,2200,2500,17.46,1
20035,20068,4,345osm_화성_345-신안산_345_4,0.000454,0.004871,0.102665,0.0,0.0,0.0,0.0,2000,2200,2500,17.46,1
20039,20101,1,345osm_서창_345-남울산_345_1,0.000466,0.005002,0.105428,0.0,0.0,0.0,0.0,2000,2200,2500,17.93,1
20039,20101,2,345osm_서창_345-남울산_345_2,0.000466,0.005002,0.105428,0.0,0.0,0.0,0.0,2000,2200,2500,17.93,1
20039,20101,3,345osm_서창_345-남울산_345_3,0.000466,0.005002,0.105428,0.0,0.0,0.0,0.0,2000,2200,2500,17.93,1
20039,20101,4,345osm_서창_345-남울산_345_4,0.000466,0.005002,0.105428,0.0,0.0,0.0,0.0,2000,2200,2500,17.93,1
20001,20032,1,345osm_북부산_345-신양산_345_1,0.000474,0.005086,0.107192,0.0,0.0,0.0,0.0,2000,2200,2500,18.23,1
20001,20032,2,345osm_북부산_345-신양산_345_2,0.000474,0.005086,0.107192,0.0,0.0,0.0,0.0,2000,2200,2500,18.23,1
20032,20092,1,345osm_신양산_345-울산T4_345_1,0.000482,0.005173,0.109015,0.0,0.0,0.0,0.0,2000,2200,2500,18.54,1
20032,20092,2,345osm_신양산_345-울산T4_345_2,0.000482,0.005173,0.109015,0.0,0.0,0.0,0.0,2000,2200,2500,18.54,1
20034,20035,1,345osm_서서울_345-화성_345_1,0.000502,0.005382,0.113425,0.0,0.0,0.0,0.0,2000,2200,2500,19.29,1
20034,20035,2,345osm_서서울_345-화성_345_2,0.000502,0.005382,0.113425,0.0,0.0,0.0,0.0,2000,2200,2500,19.29,1
20025,20074,1,345osm_청원_345-세종_345_1,0.000505,0.005424,0.114307,0.0,0.0,0.0,0.0,2000,2200,2500,19.44,1
20025,20074,2,345osm_청원_345-세종_345_2,0.000505,0.005424,0.114307,0.0,0.0,0.0,0.0,2000,2200,2500,19.44,1
