hv_bus,mv_bus,lv_bus,id,name,r_hv_mv_pu,x_hv_mv_pu,r_mv_lv_pu,x_mv_lv_pu,r_lv_hv_pu,x_lv_hv_pu,g_pu,b_pu,ratio_hv,ratio_mv,ratio_lv,tap_step,tap_min,tap_max,shift_mv_deg,shift_lv_deg,vn_hv_kv,vn_mv_kv,vn_lv_kv,rate_hv_mva,rate_mv_mva,rate_lv_mva,cont_bus,in_service
10002,20039,60039,3,신태백_MTr3,0.0004,0.009,0.002,0.06,0.0018,0.05,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,765,345,23,2000.0,2000.0,667,20039,1
10003,20040,60040,1,신가평_MTr1,0.0004,0.009,0.002,0.06,0.0018,0.05,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,765,345,23,2000.0,2000.0,667,20040,1
10003,20040,60040,2,신가평_MTr2,0.0004,0.009,0.002,0.06,0.0018,0.05,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,765,345,23,2000.0,2000.0,667,20040,1
10003,20040,60040,3,신가평_MTr3,0.0004,0.009,0.002,0.06,0.0018,0.05,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,765,345,23,2000.0,2000.0,667,20040,1
20041,40131,60041,1,신화순_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.97,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40131,1
20041,40131,60041,2,신화순_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.97,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40131,1
20042,40137,60042,1,신양양_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.02,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40137,1
20042,40137,60042,2,신양양_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.02,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40137,1
20043,40138,60043,1,동해_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40138,1
20043,40138,60043,2,동해_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40138,1
20044,40139,60044,1,신제천_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40139,1
20044,40139,60044,2,신제천_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40139,1
20045,40141,60045,1,곤지암_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40141,1
20045,40141,60045,2,곤지암_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40141,1
20045,40141,60045,3,곤지암_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.01,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40141,1
20046,40143,60046,1,신파주_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40143,1
20046,40143,60046,2,신파주_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40143,1
20046,40143,60046,3,신파주_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40143,1
20047,40144,60047,1,신덕은_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40144,1
20047,40144,60047,2,신덕은_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40144,1
20047,40144,60047,3,신덕은_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40144,1
20048,40147,60048,1,서수원_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40147,1
20048,40147,60048,2,서수원_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40147,1
20048,40147,60048,3,서수원_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,0.99,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40147,1
20049,40160,60049,1,신포천_MTr1,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40160,1
20049,40160,60049,2,신포천_MTr2,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40160,1
20049,40160,60049,3,신포천_MTr3,0.0007,0.02,0.0016,0.031,0.0014,0.028,0.0,0.0,1.0,1.0,1.0,0.01,0.9,1.1,0.0,0.0,345,154,23,600.0,600.0,200,40160,1
