from_bus,to_bus,id,name,r_pu,x_pu,b_pu,g_from_pu,b_from_pu,g_to_pu,b_to_pu,rate_a_mva,rate_b_mva,rate_c_mva,length_km,in_service,cable_km
20052,20087,2,345osm_신녹산_345-신김해_345_2,0.000429,0.004601,0.096961,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,16.49,1,0.0
20012,20057,1,345osm_신광명_345-신인천_345_1,0.000436,0.004682,0.098666,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,16.78,1,0.0
20012,20057,2,345osm_신광명_345-신인천_345_2,0.000436,0.004682,0.098666,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,16.78,1,0.0
20010,20028,1,345osm_신성남_345-서서울_345_1,0.000424053,0.00458425,0.186309,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,16.91,1,1.04
20010,20028,2,345osm_신성남_345-서서울_345_2,0.000424053,0.00458425,0.186309,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,16.91,1,1.04
20010,20028,3,345osm_신성남_345-서서울_345_3,0.000424053,0.00458425,0.186309,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,16.91,1,1.04
20010,20028,4,345osm_신성남_345-서서울_345_4,0.000424053,0.00458425,0.186309,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,16.91,1,1.04
20029,20059,1,345osm_화성_345-신안산_345_1,0.000467,0.005014,0.105668,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,17.97,1,0.0
20029,20059,2,345osm_화성_345-신안산_345_2,0.000467,0.005014,0.105668,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,17.97,1,0.0
20029,20059,3,345osm_화성_345-신안산_345_3,0.000467,0.005014,0.105668,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,17.97,1,0.0
20029,20059,4,345osm_화성_345-신안산_345_4,0.000467,0.005014,0.105668,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,17.97,1,0.0
20001,20026,1,345osm_북부산_345-신양산_345_1,0.000474,0.005086,0.107192,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,18.23,1,0.0
20001,20026,2,345osm_북부산_345-신양산_345_2,0.000474,0.005086,0.107192,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,18.23,1,0.0
20026,20080,1,345osm_신양산_345-울산T4_345_1,0.000482,0.005173,0.109015,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,18.54,1,0.0
20026,20080,2,345osm_신양산_345-울산T4_345_2,0.000482,0.005173,0.109015,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,18.54,1,0.0
20028,20029,1,345osm_서서울_345-화성_345_1,0.000502,0.005382,0.113425,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,19.29,1,0.0
20028,20029,2,345osm_서서울_345-화성_345_2,0.000502,0.005382,0.113425,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,19.29,1,0.0
20020,20065,1,345osm_청원_345-세종_345_1,0.000505,0.005424,0.114307,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,19.44,1,0.0
20020,20065,2,345osm_청원_345-세종_345_2,0.000505,0.005424,0.114307,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,19.44,1,0.0
20036,20058,1,345osm_미금_345-신의정부_345_1,0.000535,0.005736,0.120893,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,20.56,1,0.0
20036,20058,2,345osm_미금_345-신의정부_345_2,0.000535,0.005736,0.120893,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,20.56,1,0.0
20005,90000,1,345osm_신울산_345-고리_SW_1,0.000551797,0.00592269,0.124832,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,21.23,1,0.0
20005,90000,2,345osm_신울산_345-고리_SW_2,0.000551797,0.00592269,0.124832,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,21.23,1,0.0
20066,20083,1,345osm_신당진_345-당진T2_345_1,0.000543,0.005828,0.122833,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,20.89,1,0.0
20066,20083,2,345osm_신당진_345-당진T2_345_2,0.000543,0.005828,0.122833,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,20.89,1,0.0
20015,20063,1,345osm_대구_345-북경남_345_1,0.000554,0.00594,0.125185,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,21.29,1,0.0
20015,20063,2,345osm_대구_345-북경남_345_2,0.000554,0.00594,0.125185,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,21.29,1,0.0
20015,20063,3,345osm_대구_345-북경남_345_3,0.000554,0.00594,0.125185,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,21.29,1,0.0
20015,20063,4,345osm_대구_345-북경남_345_4,0.000554,0.00594,0.125185,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,21.29,1,0.0
20035,20045,1,345osm_동서울_345-곤지암_345_1,0.000572,0.006135,0.129301,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,21.99,1,0.0
20035,20045,2,345osm_동서울_345-곤지암_345_2,0.000572,0.006135,0.129301,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,21.99,1,0.0
20008,20009,1,345osm_신용인_345-신안성_345_1,0.00057,0.006113,0.128831,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,21.91,1,0.0
20008,20009,2,345osm_신용인_345-신안성_345_2,0.00057,0.006113,0.128831,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,21.91,1,0.0
20008,20009,3,345osm_신용인_345-신안성_345_3,0.00057,0.006113,0.128831,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,21.91,1,0.0
20008,20009,4,345osm_신용인_345-신안성_345_4,0.00057,0.006113,0.128831,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,21.91,1,0.0
20053,90006,1,345osm_동울산_345-월성_SW_1,0.000606,0.006503,0.137063,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,23.31,1,0.0
20053,90006,2,345osm_동울산_345-월성_SW_2,0.000606,0.006503,0.137063,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,23.31,1,0.0
20053,90006,3,345osm_동울산_345-월성_SW_3,0.000606,0.006503,0.137063,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,23.31,1,0.0
20053,90006,4,345osm_동울산_345-월성_SW_4,0.000606,0.006503,0.137063,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,23.31,1,0.0
20003,20069,1,345osm_신포항_345-신영일_345_1,0.000608,0.00652,0.137416,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,23.37,1,0.0
20003,20069,2,345osm_신포항_345-신영일_345_2,0.000608,0.00652,0.137416,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,23.37,1,0.0
20007,20011,1,345osm_신옥천_345-신계룡_345_1,0.000627,0.006732,0.141884,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,24.13,1,0.0
20007,20011,2,345osm_신옥천_345-신계룡_345_2,0.000627,0.006732,0.141884,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,24.13,1,0.0
20003,90006,1,345osm_신포항_345-월성_SW_1,0.000673,0.007225,0.152263,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,25.9,1,0.0
20003,90006,2,345osm_신포항_345-월성_SW_2,0.000673,0.007225,0.152263,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,25.9,1,0.0
20015,20017,1,345osm_대구_345-고령_345_1,0.000669,0.007174,0.151201,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,25.71,1,0.0
20015,20017,2,345osm_대구_345-고령_345_2,0.000669,0.007174,0.151201,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,25.71,1,0.0
20020,20062,1,345osm_청원_345-신중부_345_1,0.000661,0.007089,0.149411,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,25.41,1,0.0
20020,20062,2,345osm_청원_345-신중부_345_2,0.000661,0.007089,0.149411,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,25.41,1,0.0
20020,20062,3,345osm_청원_345-신중부_345_3,0.000661,0.007089,0.149411,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,25.41,1,0.0
20020,20062,4,345osm_청원_345-신중부_345_4,0.000661,0.007089,0.149411,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,25.41,1,0.0
