bus,name,region,base_kv,volt_class,type,area,area_name,zone,vm_pu,va_deg,vmax_pu,vmin_pu,in_service,lat,lon
40265,동울산_154,울산광역시,154.0,154kV,PQ,5,영남,7,1.00307,2.0311,1.05,0.95,1,35.6512,129.39284
60053,동울산_T23,울산광역시,23.0,23kV,PQ,5,영남,7,1.01995,4.5904,1.05,0.95,1,35.6512,129.39284
40266,지도_154,경기도,154.0,154kV,PQ,1,수도권,9,1.00039,-30.1285,1.05,0.95,1,37.64854,126.83804
70216,지도_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.00192,-34.967,1.05,0.95,1,37.64854,126.83804
40267,안양_154,경기도,154.0,154kV,PQ,1,수도권,9,0.99835,-27.8902,1.05,0.95,1,37.38633,126.92754
70217,안양_D23,경기도,22.9,22.9kV,PQ,1,수도권,9,1.00132,-31.1719,1.05,0.95,1,37.38633,126.92754
10004,신울산765_765,울산광역시,765.0,765kV,PQ,5,영남,7,1.03105,11.6069,1.05,0.95,1,35.34061,129.30899
20054,신울산765_345,울산광역시,345.0,345kV,PQ,5,영남,7,1.02535,7.5869,1.05,0.95,1,35.34061,129.30899
60054,신울산765_T23,울산광역시,23.0,23kV,PQ,5,영남,7,1.03053,11.8327,1.05,0.95,1,35.34061,129.30899
20055,한국발전기술_345,전라남도,345.0,345kV,PQ,4,호남,14,1.01272,12.8002,1.05,0.95,1,34.83908,127.69295
40268,한국발전기술_154,전라남도,154.0,154kV,PQ,4,호남,14,1.00298,7.5758,1.05,0.95,1,34.83908,127.69295
60055,한국발전기술_T23,전라남도,23.0,23kV,PQ,4,호남,14,1.00356,10.6028,1.05,0.95,1,34.83908,127.69295
40269,가수원_154,대전광역시,154.0,154kV,PQ,3,충청,6,0.99772,-9.507,1.05,0.95,1,36.2985,127.33601
70218,가수원_D23,대전광역시,22.9,22.9kV,PQ,3,충청,6,1.00173,-12.3895,1.05,0.95,1,36.2985,127.33601
40270,성암_154,울산광역시,154.0,154kV,PQ,5,영남,7,1.00175,0.9269,1.05,0.95,1,35.4874,129.35487
70219,성암_D23,울산광역시,22.9,22.9kV,PQ,5,영남,7,0.99448,-2.4317,1.05,0.95,1,35.4874,129.35487
40271,월산_154,세종특별자치시,154.0,154kV,PQ,3,충청,8,0.99518,-12.1947,1.05,0.95,1,36.49361,127.36115
70220,월산_D23,세종특별자치시,22.9,22.9kV,PQ,3,충청,8,0.99926,-15.0466,1.05,0.95,1,36.49361,127.36115
40272,울산화력_154,울산광역시,154.0,154kV,PQ,5,영남,7,1.00162,0.9895,1.05,0.95,1,35.47521,129.37877
70221,울산화력_D23,울산광역시,22.9,22.9kV,PQ,5,영남,7,0.99431,-2.3836,1.05,0.95,1,35.47521,129.37877
40273,서산_154,충청남도,154.0,154kV,PQ,3,충청,12,0.99988,-11.7654,1.05,0.95,1,36.79669,126.46459
70222,서산_D23,충청남도,22.9,22.9kV,PQ,3,충청,12,1.00383,-18.5055,1.05,0.95,1,36.79669,126.46459
40274,여천_154,전라남도,154.0,154kV,PQ,4,호남,14,1.0002,6.9375,1.05,0.95,1,34.81304,127.66891
70223,여천_D23,전라남도,22.9,22.9kV,PQ,4,호남,14,1.0031,3.6286,1.05,0.95,1,34.81304,127.66891
40275,여수산단개폐소_154,전라남도,154.0,154kV,PQ,4,호남,14,1.00029,6.9588,1.05,0.95,1,34.81279,127.66757
40276,송포_154,경기도,154.0,154kV,PQ,1,수도권,9,1.00192,-29.6369,1.05,0.95,1,37.68545,126.76157
