Time_Index,KR_nuclear,KR_utilitypv,onwind,offwind-ac,offwind-dc,availability_one,SEL_solar,SEL_onwind,SEL_offwind-dc,PUS_solar,PUS_onwind,PUS_offwind-dc,TAE_solar,TAE_onwind,TAE_offwind-dc,INC_solar,INC_onwind,INC_offwind-dc,KWJ_solar,KWJ_onwind,KWJ_offwind-dc,DJJ_solar,DJJ_onwind,DJJ_offwind-dc,USN_solar,USN_onwind,USN_offwind-dc,SJG_solar,SJG_onwind,SJG_offwind-dc,GGI_solar,GGI_onwind,GGI_offwind-dc,GWN_solar,GWN_onwind,GWN_offwind-dc,CNB_solar,CNB_onwind,CNB_offwind-dc,CNA_solar,CNA_onwind,CNA_offwind-dc,JNB_solar,JNB_onwind,JNB_offwind-dc,JNA_solar,JNA_onwind,JNA_offwind-dc,GNB_solar,GNB_onwind,GNB_offwind-dc,GNA_solar,GNA_onwind,GNA_offwind-dc,JEJ_solar,JEJ_onwind,JEJ_offwind-dc
31,0.85,0,0.036733846,0.044535975,0.087456147,1,0.51832298,0.189101721,0,0.475602529,0.277378658,0,0.518672713,0.442236132,0.097095405,0.511199733,0.496152836,0.366696606,0.395981275,0.225416217,0,0.440907484,0.262401675,0,0.50308913,0.384479519,0,0.449706786,0.302338184,0,0.515233256,0.183771496,0,0.518697491,0.212975476,0,0.512061394,0.335411243,0,0.381643624,0.338037125,0.421621519,0.316860496,0.232897213,0,0.42535427,0.335380918,0.432349826,0.518672713,0.442236132,0.097095405,0.49845126,0.246578392,0.394546215,0.218890615,0.576440912,0.452864421
32,0.85,0.141903492,0.043500158,0.046974517,0.089264619,1,0.375236374,0.15327108,0,0.356080218,0.249314504,0,0.371654629,0.342399249,0.088003362,0.36706267,0.452998701,0.329619298,0.29081318,0.263016322,0,0.335589469,0.186800818,0,0.358019931,0.323392233,0,0.331244135,0.224066231,0,0.368286258,0.152949895,0,0.376631999,0.17424318,0,0.373103765,0.253169222,0,0.262386493,0.289542096,0.418988398,0.239833181,0.194153584,0,0.319453246,0.311233377,0.423909588,0.371654629,0.342399249,0.088003362,0.36796404,0.189826933,0.410466163,0.168780838,0.545210594,0.503154589
33,0.85,0.309899583,0.050976982,0.055393838,0.105852982,1,0.182686503,0.139658511,0,0.160629478,0.241445917,0,0.175871381,0.266179969,0.0565263,0.182822163,0.44749119,0.329346901,0.134543676,0.183374251,0,0.176281228,0.154822234,0,0.167078258,0.274687339,0,0.175201555,0.168749532,0,0.180799892,0.139404848,0,0.176246844,0.152080281,0,0.181563604,0.209281341,0,0.150990035,0.245965897,0.413556038,0.154683981,0.172224415,0,0.121135785,0.328460312,0.494439898,0.175871381,0.266179969,0.0565263,0.179281801,0.169137274,0.45208029,0.078338943,0.577292805,0.501783832
34,0.85,0.434382226,0.156622498,0.071978943,0.115762548,1,0,0.17055155,0,0,0.319944741,0,0,0.327686003,0.044795951,0,0.462842573,0.332511771,0,0.183048452,0,0,0.156152104,0,0,0.353327121,0,0,0.158683903,0,0,0.172129325,0,0,0.225920511,0,0,0.253142332,0,0,0.22699756,0.392270782,0,0.173474085,0,0,0.325955191,0.571232053,0,0.327686003,0.044795951,0,0.204542179,0.604938993,0,0.637341583,0.464165655
35,0.85,0.522606118,0.262086681,0.092860405,0.123871221,1,0,0.127033245,0,0,0.16105989,0,0,0.132340913,0.033759515,0,0.360058914,0.267170331,0,0.164336568,0,0,0.059958855,0,0,0.150124971,0,0,0.076056576,0,0,0.110692207,0,0,0.084119983,0,0,0.111268041,0,0,0.145044957,0.340269366,0,0.091912023,0,0,0.201753477,0.4418177,0,0.132340913,0.033759515,0,0.106194598,0.510864137,0,0.579528854,0.489772385
36,0.85,0.529381123,0.339488868,0.119503212,0.141590294,1,0,0.15591355,0,0,0.179015844,0,0,0.179184344,0.024275206,0,0.341020615,0.245168388,0,0.159324416,0,0,0.056626026,0,0,0.177971721,0,0,0.082420981,0,0,0.143754134,0,0,0.115671772,0,0,0.12546036,0,0,0.132565863,0.283358339,0,0.080511263,0,0,0.174444092,0.397443233,0,0.179184344,0.024275206,0,0.086006236,0.400207988,0,0.431971001,0.507498798
37,0.85,0.494111043,0.376566972,0.159051443,0.160922271,1,0,0.150162847,0,0,0.173346908,0,0,0.247591422,0.050164936,0,0.360340448,0.261151304,0,0.157276316,0,0,0.067580473,0,0,0.207608564,0,0,0.097576203,0,0,0.139286773,0,0,0.155117016,0,0,0.145953418,0,0,0.146321306,0.291607112,0,0.090184808,0,0,0.157754795,0.374794726,0,0.247591422,0.050164936,0,0.071939469,0.243525252,0,0.40010705,0.424520912
38,0.85,0.425483357,0.367509306,0.198335095,0.17853663,1,0,0.154363886,0,0,0.172452991,0,0,0.277003782,0.187159204,0,0.434267152,0.317015897,0,0.103612049,0,0,0.080946765,0,0,0.233696309,0,0,0.121802159,0,0,0.128729379,0,0,0.142187812,0,0,0.149997307,0,0,0.182350335,0.327291484,0,0.084379588,0,0,0.122163043,0.335474642,0,0.277003782,0.187159204,0,0.059500872,0.170811959,0,0.456258726,0.335789391
39,0.85,0.298080005,0.300435956,0.253390962,0.22099195,1,0,0.168018984,0,0,0.179936039,0,0,0.276632006,0.374819556,0,0.522864999,0.388203438,0,0.082236743,0,0,0.077177745,0,0,0.258528804,0,0,0.133578279,0,0,0.134319882,0,0,0.126938668,0,0,0.145712342,0,0,0.19434583,0.338296858,0,0.057563568,0,0,0.10441861,0.283388748,0,0.276632006,0.374819556,0,0.045905473,0.120428165,0,0.326157084,0.310896665
40,0.85,0.137018195,0.348663837,0.319828989,0.274023328,1,0,0.179134952,0,0,0.232668652,0,0,0.268868652,0.483333392,0,0.533497951,0.409628161,0,0.085913662,0,0,0.093074075,0,0,0.300532954,0,0,0.13870835,0,0,0.14272337,0,0,0.119849731,0,0,0.161606509,0,0,0.19829276,0.344104493,0,0.069697563,0,0,0.098190767,0.24012491,0,0.268868652,0.483333392,0,0.054647066,0.107956226,0,0.243960133,0.314887936
