Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,,,,,,,,,
179,86174.45941,88153.0499,94529.54156,101295.6139,8700,0,,,,,,,,,
180,85314.23004,87273.06942,93585.9083,100284.4389,8700,0,,,,,,,,,
181,81952.91018,83834.57268,89898.6902,96333.30342,8700,0,,,,,,,,,
182,83510.3377,85427.75918,91607.11883,98164.01493,8700,0,,,,,,,,,
183,84270.83033,86205.71294,92441.3453,99057.95231,8700,0,,,,,,,,,
184,84770.47302,86716.82758,92989.43108,99645.26799,8700,0,,,,,,,,,
185,86069.92763,88046.11804,94414.87483,101172.7397,8700,0,,,,,,,,,
186,84363.85401,86300.87248,92543.38815,99167.29896,8700,0,,,,,,,,,
187,81007.32919,82867.28088,88861.43,95221.80003,8700,0,,,,,,,,,
188,77766.84422,79552.39344,85306.76241,91412.70258,8700,0,,,,,,,,,
189,75046.14109,76769.22218,82322.27232,88214.5938,8700,0,,,,,,,,,
190,71786.47598,73434.71421,78746.56497,84382.95061,8700,0,,,,,,,,,
191,70853.36208,72480.17576,77722.9806,83286.1019,8700,0,,,,,,,,,
192,72295.70875,73955.63911,79305.17061,84981.53918,8700,0,,,,,,,,,
193,69533.76832,71130.28374,76275.44505,81734.95714,8700,0,,,,,,,,,
194,67483.41115,69032.84978,74026.29461,79324.8209,8700,0,,,,,,,,,
195,66226.15285,67746.72446,72647.13828,77846.94971,8700,0,,,,,,,,,
196,65419.62789,66921.68146,71762.41635,76898.90267,8700,0,,,,,,,,,
197,65099.31952,66594.01872,71411.05234,76522.38933,8700,0,,,,,,,,,
198,65270.98179,66769.6224,71599.3582,76724.17343,8700,0,,,,,,,,,
199,66323.97158,67846.78914,72754.44107,77961.93283,8700,0,,,,,,,,,
200,67703.98279,69258.4858,74268.25187,79584.09656,8700,0,,,,,,,,,
201,70306.72804,71920.99084,77123.34741,82643.54921,8700,0,,,,,,,,,
202,70147.53286,71758.14049,76948.7174,82456.41982,8700,0,,,,,,,,,
203,70717.18307,72340.87003,77573.5983,83126.02735,8700,0,,,,,,,,,
204,69928.87924,71534.46652,76708.86412,82199.39874,8700,0,,,,,,,,,
205,67563.00874,69114.27495,74113.60961,79418.38559,8700,0,,,,,,,,,
206,67631.09825,69183.92782,74188.30078,79498.42286,8700,0,,,,,,,,,
207,67755.76917,69311.46121,74325.05922,79644.96997,8700,0,,,,,,,,,
208,68404.05796,69974.6349,75036.20313,80407.01491,8700,0,,,,,,,,,
209,70097.66449,71707.12713,76894.01403,82397.80099,8700,0,,,,,,,,,
210,70970.36095,72599.86095,77851.32315,83423.63073,8700,0,,,,,,,,,
211,71189.01456,72823.53491,78091.17642,83680.65179,8700,0,,,,,,,,,
212,69811.88038,71414.78133,76580.52159,82061.86993,8700,0,,,,,,,,,
213,68302.40321,69870.64612,74924.6924,80287.52266,8700,0,,,,,,,,,
214,66194.50562,67714.3506,72612.42268,77809.74929,8700,0,,,,,,,,,
215,66488.9208,68015.52564,72935.38301,78155.82592,8700,0,,,,,,,,,
216,68337.88647,69906.9441,74963.61596,80329.23221,8700,0,,,,,,,,,
217,66186.83356,67706.50238,72604.00678,77800.731,8700,0,,,,,,,,,
218,64058.79682,65529.6053,70269.6453,75299.28464,8700,0,,,,,,,,,
219,62575.21285,64011.95782,68642.21981,73555.37409,8700,0,,,,,,,,,
220,61680.45923,63096.6604,67660.71496,72503.61679,8700,0,,,,,,,,,
221,61470.43668,62881.81567,67430.32958,72256.74128,8700,0,,,,,,,,,
222,61816.63824,63235.96612,67810.09727,72663.69133,8700,0,,,,,,,,,
223,62222.29824,63650.94019,68255.08821,73140.53306,8700,0,,,,,,,,,
224,62328.74803,63759.8341,68371.85888,73265.66174,8700,0,,,,,,,,,
225,62469.72207,63904.04494,68526.50113,73431.3727,8700,0,,,,,,,,,
226,61051.35058,62453.10724,66970.61082,71764.11755,8700,0,,,,,,,,,
227,61071.48973,62473.70879,66992.70256,71787.79055,8700,0,,,,,,,,,
228,60506.63455,61895.88436,66373.0816,71123.81943,8700,0,,,,,,,,,
229,59543.79143,60910.93409,65316.88561,69992.02486,8700,0,,,,,,,,,
230,59644.48717,61013.94183,65427.34434,70110.38983,8700,0,,,,,,,,,
231,60204.54731,61586.86112,66041.70536,70768.72452,8700,0,,,,,,,,,
232,61897.19483,63318.37231,67898.46426,72758.38329,8700,0,,,,,,,,,
233,64074.14094,65545.30173,70286.47712,75317.32122,8700,0,,,,,,,,,
234,66592.49356,68121.47645,73048.99772,78277.57274,8700,0,,,,,,,,,
235,67838.24378,69395.82947,74415.5302,79741.91652,8700,0,,,,,,,,,
236,67047.06293,68586.48287,73547.64006,78811.90604,8700,0,,,,,,,,,
237,65899.13144,67412.19454,72288.41037,77462.54538,8700,0,,,,,,,,,
238,64453.90775,65933.7881,70703.06439,75763.72626,8700,0,,,,,,,,,
239,64948.75541,66439.99761,71245.89022,76345.40553,8700,0,,,,,,,,,
240,65930.77867,67444.5684,72323.12597,77499.7458,8700,0,,,,,,,,,
241,63692.45611,65154.85331,69867.78588,74868.66161,8700,0,,,,,,,,,
242,61718.81952,63135.90145,67702.79449,72548.70821,8700,0,,,,,,,,,
243,60666.78873,62059.71573,66548.7636,71312.07609,8700,0,,,,,,,,,
244,60170.98207,61552.52521,66004.88579,70729.26953,8700,0,,,,,,,,,
245,60645.69058,62038.13317,66525.61987,71287.27582,8700,0,,,,,,,,,
246,62218.46221,63647.01608,68250.88025,73136.02391,8700,0,,,,,,,,,
247,65816.65683,67327.82629,72197.9394,77365.59884,8700,0,,,,,,,,,
248,71938.95811,73590.69738,78913.83107,84562.189,8700,0,,,,,,,,,
249,81418.74323,83288.14111,89312.73287,95705.40548,8700,0,,,,,,,,,
250,85388.07359,87348.60844,93666.91136,100371.2398,8700,0,,,,,,,,,
251,86851.51841,88845.65437,95272.24517,102091.4774,8700,0,,,,,,,,,
252,86793.01898,88785.81178,95208.07389,102022.7129,8700,0,,,,,,,,,
253,83759.67954,85682.82599,91880.63565,98457.10913,8700,0,,,,,,,,,
254,85642.21047,87608.58037,93945.68822,100669.9704,8700,0,,,,,,,,,
255,86078.5587,88054.94728,94424.34277,101182.8853,8700,0,,,,,,,,,
256,85812.91373,87783.20303,94132.94212,100870.6273,8700,0,,,,,,,,,
257,86141.85317,88119.69502,94493.77399,101257.2862,8700,0,,,,,,,,,
258,83752.9665,85675.95882,91873.2718,98449.21813,8700,0,,,,,,,,,
259,80663.04564,82515.09248,88483.76629,94817.10452,8700,0,,,,,,,,,
260,77284.46365,79058.93727,84777.61241,90845.67795,8700,0,,,,,,,,,
261,74131.24833,75833.32322,81318.67574,87139.16353,8700,0,,,,,,,,,
262,70671.15073,72293.78077,77523.10286,83071.91766,8700,0,,,,,,,,,
263,69606.65286,71204.84172,76355.39614,81820.63084,8700,0,,,,,,,,,
264,71402.87315,73042.30376,78325.76975,83932.03645,8700,0,,,,,,,,,
265,68672.57995,70249.32223,75330.75979,80722.65484,8700,0,,,,,,,,,
266,66814.0242,68348.0935,73292.00695,78537.97568,8700,0,,,,,,,,,
267,65660.33867,67167.91902,72026.46534,77181.85131,8700,0,,,,,,,,,
268,65150.1469,66646.01311,71466.80771,76582.13546,8700,0,,,,,,,,,
269,65309.34207,66808.86344,71641.43772,76769.26484,8700,0,,,,,,,,,
270,66460.15059,67986.09485,72903.82338,78122.00736,8700,0,,,,,,,,,
271,69640.21811,71239.17764,76392.21573,81860.08583,8700,0,,,,,,,,,
272,74733.50478,76449.40765,81979.32422,87847.09871,8700,0,,,,,,,,,
273,82589.69089,84485.97407,90597.21028,97081.82095,8700,0,,,,,,,,,
274,84477.97586,86417.6146,92668.57476,99301.44597,8700,0,,,,,,,,,
275,83117.14479,85025.53846,91175.80369,97701.82789,8700,0,,,,,,,,,
276,80324.51614,82168.79024,88112.41451,94419.17273,8700,0,,,,,,,,,
277,76296.68634,78048.48031,83694.06473,89684.57401,8700,0,,,,,,,,,
278,78626.11457,80431.39289,86249.34368,92422.75032,8700,0,,,,,,,,,
