Time_Index,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,uranium_source
1877,14.05803,13.68269,16.82186,2.79796
1878,14.05803,13.68269,16.82186,2.79796
1879,14.05803,13.68269,16.82186,2.79796
1880,14.05803,13.68269,16.82186,2.79796
1881,14.05803,13.68269,16.82186,2.79796
1882,14.05803,13.68269,16.82186,2.79796
1883,14.05803,13.68269,16.82186,2.79796
1884,14.05803,13.68269,16.82186,2.79796
1885,14.05803,13.68269,16.82186,2.79796
1886,14.05803,13.68269,16.82186,2.79796
1887,14.05803,13.68269,16.82186,2.79796
1888,14.05803,13.68269,16.82186,2.79796
1889,14.05803,13.68269,16.82186,2.79796
1890,14.05803,13.68269,16.82186,2.79796
1891,14.05803,13.68269,16.82186,2.79796
1892,14.05803,13.68269,16.82186,2.79796
1893,14.05803,13.68269,16.82186,2.79796
1894,14.05803,13.68269,16.82186,2.79796
1895,14.05803,13.68269,16.82186,2.79796
1896,14.05803,13.68269,16.82186,2.79796
1897,14.05803,13.68269,16.82186,2.79796
1898,14.05803,13.68269,16.82186,2.79796
1899,14.05803,13.68269,16.82186,2.79796
1900,14.05803,13.68269,16.82186,2.79796
1901,14.05803,13.68269,16.82186,2.79796
1902,14.05803,13.68269,16.82186,2.79796
1903,14.05803,13.68269,16.82186,2.79796
1904,14.05803,13.68269,16.82186,2.79796
1905,14.05803,13.68269,16.82186,2.79796
1906,14.05803,13.68269,16.82186,2.79796
1907,14.05803,13.68269,16.82186,2.79796
1908,14.05803,13.68269,16.82186,2.79796
1909,14.05803,13.68269,16.82186,2.79796
1910,14.05803,13.68269,16.82186,2.79796
1911,14.05803,13.68269,16.82186,2.79796
1912,14.05803,13.68269,16.82186,2.79796
1913,14.05803,13.68269,16.82186,2.79796
1914,14.05803,13.68269,16.82186,2.79796
1915,14.05803,13.68269,16.82186,2.79796
1916,14.05803,13.68269,16.82186,2.79796
1917,14.05803,13.68269,16.82186,2.79796
1918,14.05803,13.68269,16.82186,2.79796
1919,14.05803,13.68269,16.82186,2.79796
1920,14.05803,13.68269,16.82186,2.79796
1921,14.05803,13.68269,16.82186,2.79796
1922,14.05803,13.68269,16.82186,2.79796
1923,14.05803,13.68269,16.82186,2.79796
1924,14.05803,13.68269,16.82186,2.79796
1925,14.05803,13.68269,16.82186,2.79796
1926,14.05803,13.68269,16.82186,2.79796
