Time_Index,Demand_fossil_Jetfuel,Demand_SAF_Jetfuel,Demand_Jetfuel,Demand_Flexfuel,Demand_BioDiesel,Demand_Diesel,Demand_Ethanol,Demand_Gasoline,elec_demand_S,elec_demand_NE,elec_demand_N
148,2248,439,1799,62359,8966,80695,3245,8775,6371.89193,14431.1955,13974.60225
149,2248,439,1799,62359,8966,80695,3245,8775,6199.698269,13944.50701,14005.57195
150,2248,439,1799,62359,8966,80695,3245,8775,6959.895845,13967.48955,14095.97988
151,2248,439,1799,62359,8966,80695,3245,8775,8421.613528,14456.58253,12591.0624
152,2248,439,1799,62359,8966,80695,3245,8775,10509.28032,14226.04985,11445.51868
153,2248,439,1799,62359,8966,80695,3245,8775,12921.15429,13957.10282,11512.16101
154,2248,439,1799,62359,8966,80695,3245,8775,13945.54759,13881.78587,11912.02758
155,2248,439,1799,62359,8966,80695,3245,8775,14834.9287,14043.38085,12247.49522
156,2248,439,1799,62359,8966,80695,3245,8775,15529.45745,13935.80362,12352.94901
157,2248,439,1799,62359,8966,80695,3245,8775,14807.99397,14387.5496,11306.80236
158,2248,439,1799,62359,8966,80695,3245,8775,15249.0221,14203.70315,11557.63583
159,2248,439,1799,62359,8966,80695,3245,8775,15953.55779,14286.10562,12299.61984
160,2248,439,1799,62359,8966,80695,3245,8775,15655.74126,14656.18218,12581.98023
161,2248,439,1799,62359,8966,80695,3245,8775,15372.93818,13715.79753,13219.57837
162,2248,439,1799,62359,8966,80695,3245,8775,14613.5688,13746.08878,13360.51484
163,2248,439,1799,62359,8966,80695,3245,8775,13727.27079,14885.38565,14170.95625
164,2248,439,1799,62359,8966,80695,3245,8775,14558.56888,15446.76517,14234.11378
165,2248,439,1799,62359,8966,80695,3245,8775,14634.47035,15946.89461,14254.1562
166,2248,439,1799,62359,8966,80695,3245,8775,14848.73007,16019.39442,14346.62631
167,2248,439,1799,62359,8966,80695,3245,8775,13827.50953,16117.0551,14408.64325
168,2248,439,1799,62359,8966,80695,3245,8775,13021.17743,15664.74668,14322.23954
169,2248,439,1799,62359,8966,80695,3245,8775,8888.327026,20449.20927,16160.70686
170,2248,439,1799,62359,8966,80695,3245,8775,7779.451994,19262.96528,16571.26039
171,2248,439,1799,62359,8966,80695,3245,8775,6895.891478,18128.86525,16643.07661
172,2248,439,1799,62359,8966,80695,3245,8775,6691.579261,18638.41526,16028.14708
173,2248,439,1799,62359,8966,80695,3245,8775,6698.032594,18916.5934,15698.59854
174,2248,439,1799,62359,8966,80695,3245,8775,7351.100815,17480.11259,16192.415
175,2248,439,1799,62359,8966,80695,3245,8775,8343.824922,16718.11469,15757.79643
176,2248,439,1799,62359,8966,80695,3245,8775,9923.899048,18069.74886,14428.87754
177,2248,439,1799,62359,8966,80695,3245,8775,11706.71765,18648.66709,14483.84929
178,2248,439,1799,62359,8966,80695,3245,8775,12132.21445,18388.62779,14848.39016
179,2248,439,1799,62359,8966,80695,3245,8775,12518.59428,18029.12346,15183.43335
180,2248,439,1799,62359,8966,80695,3245,8775,12801.79131,18222.1167,15090.35853
181,2248,439,1799,62359,8966,80695,3245,8775,12348.68573,17461.08794,15131.85142
182,2248,439,1799,62359,8966,80695,3245,8775,13771.67536,17092.19973,15432.51667
183,2248,439,1799,62359,8966,80695,3245,8775,13916.72472,16979.87502,16342.16424
184,2248,439,1799,62359,8966,80695,3245,8775,14421.89222,16885.06919,16486.42368
185,2248,439,1799,62359,8966,80695,3245,8775,14074.71803,15861.1939,17446.6686
186,2248,439,1799,62359,8966,80695,3245,8775,13317.01916,14969.24331,17769.12641
187,2248,439,1799,62359,8966,80695,3245,8775,12648.53851,17393.53202,17574.94023
188,2248,439,1799,62359,8966,80695,3245,8775,12605.37725,19106.64054,16726.42289
189,2248,439,1799,62359,8966,80695,3245,8775,12420.31722,19698.01869,16304.30345
190,2248,439,1799,62359,8966,80695,3245,8775,12565.69605,20577.2088,15961.8759
191,2248,439,1799,62359,8966,80695,3245,8775,12300.98548,20935.78864,15628.13321
192,2248,439,1799,62359,8966,80695,3245,8775,11337.18399,20373.37848,15942.53413
193,2248,439,1799,62359,8966,80695,3245,8775,10028.81483,20092.58258,16016.9591
194,2248,439,1799,62359,8966,80695,3245,8775,8344.894936,20411.86722,15486.06292
195,2248,439,1799,62359,8966,80695,3245,8775,7664.173605,19743.9798,15624.33928
196,2248,439,1799,62359,8966,80695,3245,8775,7367.053292,19082.51329,15579.19685
197,2248,439,1799,62359,8966,80695,3245,8775,7400.112896,18194.64657,15815.89636
198,2248,439,1799,62359,8966,80695,3245,8775,8114.169898,16966.45986,15964.41197
199,2248,439,1799,62359,8966,80695,3245,8775,9889.759355,16385.16492,15521.0223
200,2248,439,1799,62359,8966,80695,3245,8775,11135.07527,16989.5168,15418.52614
201,2248,439,1799,62359,8966,80695,3245,8775,12438.76842,18102.149,15353.96926
202,2248,439,1799,62359,8966,80695,3245,8775,13068.54318,18795.46214,14695.06988
203,2248,439,1799,62359,8966,80695,3245,8775,13770.93078,19031.07461,14864.2607
204,2248,439,1799,62359,8966,80695,3245,8775,14302.52723,19265.6128,14782.34769
205,2248,439,1799,62359,8966,80695,3245,8775,14212.65714,18754.31794,14327.29617
206,2248,439,1799,62359,8966,80695,3245,8775,14544.3917,18253.81156,16370.72386
207,2248,439,1799,62359,8966,80695,3245,8775,14694.65813,17418.25048,17857.97703
208,2248,439,1799,62359,8966,80695,3245,8775,14482.05482,17342.67066,17776.97883
209,2248,439,1799,62359,8966,80695,3245,8775,13969.74683,17493.77872,17585.47311
210,2248,439,1799,62359,8966,80695,3245,8775,13461.39448,16834.20485,17036.58023
211,2248,439,1799,62359,8966,80695,3245,8775,12975.25549,18497.41917,17393.2745
212,2248,439,1799,62359,8966,80695,3245,8775,13538.47679,19364.91714,16973.05348
213,2248,439,1799,62359,8966,80695,3245,8775,13649.6313,20667.19475,16004.39117
214,2248,439,1799,62359,8966,80695,3245,8775,13866.92776,21416.07804,15778.67903
215,2248,439,1799,62359,8966,80695,3245,8775,13540.22186,21475.18848,15759.34598
216,2248,439,1799,62359,8966,80695,3245,8775,12731.03739,20476.88473,16274.60226
217,2248,439,1799,62359,8966,80695,3245,8775,11302.69669,20781.60355,15701.49123
218,2248,439,1799,62359,8966,80695,3245,8775,9752.388502,20628.68617,15382.22167
219,2248,439,1799,62359,8966,80695,3245,8775,8702.045854,20748.92169,14469.50989
220,2248,439,1799,62359,8966,80695,3245,8775,8479.105117,21150.83794,14188.91612
221,2248,439,1799,62359,8966,80695,3245,8775,8634.790136,21290.75083,13931.89607
222,2248,439,1799,62359,8966,80695,3245,8775,9051.70869,20704.78081,13886.57921
223,2248,439,1799,62359,8966,80695,3245,8775,10284.02726,20161.44589,13347.71723
224,2248,439,1799,62359,8966,80695,3245,8775,12565.83006,21064.47163,12994.10656
225,2248,439,1799,62359,8966,80695,3245,8775,14289.57623,20937.35989,13601.98317
226,2248,439,1799,62359,8966,80695,3245,8775,13786.59913,21179.96166,14103.09967
227,2248,439,1799,62359,8966,80695,3245,8775,14205.6829,20986.06872,14509.69065
228,2248,439,1799,62359,8966,80695,3245,8775,14468.75521,21129.12113,14471.68352
229,2248,439,1799,62359,8966,80695,3245,8775,13872.25063,20993.91803,13748.81065
230,2248,439,1799,62359,8966,80695,3245,8775,14549.79819,20624.63206,15095.24267
231,2248,439,1799,62359,8966,80695,3245,8775,15607.78106,19499.01917,16590.81051
232,2248,439,1799,62359,8966,80695,3245,8775,15391.10222,18266.56013,17331.32055
233,2248,439,1799,62359,8966,80695,3245,8775,14894.30743,18518.35531,17234.96638
234,2248,439,1799,62359,8966,80695,3245,8775,13914.46076,17247.59104,17394.86862
235,2248,439,1799,62359,8966,80695,3245,8775,13108.92764,19060.70324,17000.89113
236,2248,439,1799,62359,8966,80695,3245,8775,14110.05569,19753.0641,16318.00326
237,2248,439,1799,62359,8966,80695,3245,8775,14274.94263,20046.77224,15482.7419
238,2248,439,1799,62359,8966,80695,3245,8775,13805.38483,21256.02456,15224.57931
239,2248,439,1799,62359,8966,80695,3245,8775,13619.60743,21064.06493,15505.09749
240,2248,439,1799,62359,8966,80695,3245,8775,12272.616,19980.66953,16077.17549
241,2248,439,1799,62359,8966,80695,3245,8775,11183.86973,19353.15061,16498.52839
242,2248,439,1799,62359,8966,80695,3245,8775,10344.60698,19314.81264,16706.49676
243,2248,439,1799,62359,8966,80695,3245,8775,9507.504418,18949.21375,16501.52574
244,2248,439,1799,62359,8966,80695,3245,8775,9141.62412,18848.07132,16269.37217
245,2248,439,1799,62359,8966,80695,3245,8775,9296.166582,18798.92802,16126.35993
246,2248,439,1799,62359,8966,80695,3245,8775,9624.97825,18336.18228,15711.51631
247,2248,439,1799,62359,8966,80695,3245,8775,9417.806617,19973.62667,12820.79232
248,2248,439,1799,62359,8966,80695,3245,8775,10350.34697,21423.39369,11650.67189
249,2248,439,1799,62359,8966,80695,3245,8775,11196.98596,21834.00143,11154.91824
250,2248,439,1799,62359,8966,80695,3245,8775,12179.81294,22828.71034,9681.612967
251,2248,439,1799,62359,8966,80695,3245,8775,12519.54943,22549.77336,9654.827731
252,2248,439,1799,62359,8966,80695,3245,8775,12775.52761,20985.84156,9933.068583
253,2248,439,1799,62359,8966,80695,3245,8775,12756.81949,19799.84159,9920.471575
