Time_Index,h2_demand_N,h2_demand_NE,h2_demand_SE,h2_demand_S,Demand_Zero,Demand_Hydrogen,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal,elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N
76,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,37279.10133,6584.753176,15344.00586,12588.54086
77,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,36849.02658,6551.07091,15350.19167,12273.27553
78,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,36785.85002,6595.16012,14726.11283,12261.41696
79,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,36739.81732,6422.78107,14289.63201,12292.88476
80,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,37980.36268,7277.485465,15169.85276,11366.16984
81,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,39371.86106,8163.163843,16409.20389,10308.3313
82,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,40734.3568,8750.650887,15899.76398,9996.53719
83,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,41502.35005,9374.300776,16061.9085,9306.076971
84,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,41537.32249,9240.390844,16868.07407,9028.743173
85,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,41084.20594,9161.903001,16431.79163,8863.960668
86,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,41820.22713,9497.205282,15512.85696,8944.318316
87,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,43067.65859,9456.328128,15529.88978,8820.385235
88,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,42830.31653,9322.444392,15861.80296,9330.584881
89,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,41426.80468,10308.78973,16508.55287,9455.05483
90,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,40892.36059,11007.13505,15654.47898,11367.07593
91,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,41703.7984,12238.36548,15685.00929,12647.0197
92,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,43208.04441,13491.59567,16448.87404,13000.82419
93,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,43243.2015,13959.33788,16939.80412,11592.08064
94,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,42004.36893,13644.32354,17018.51355,11000.22284
95,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,40066.70744,13075.86099,16886.54124,10855.55737
96,100,100,100,100,0,14.30786158,1084.535908,177.4174836,34540.51421,3355.232172,7247.301034,4441.135911,10095.07198,16.63288909,37975.926,12056.29786,16253.87904,11616.33174
