Time_Index,Amazonas_hydro_res,Doce_hydro_res,Grande_hydro_res,Iguacu_hydro_res,Jacui_capivari_hydro_res,Jequitinhonha_hydro_res,Paraiba_do_sul_hydro_res,Parana_hydro_res,Paranaiba_hydro_res,Paranapanema_hydro_res,Parnaiba_hydro_res,Sao_francisco_hydro_res,Tiete_hydro_res,Tocantins_hydro_res,Uruguai_hydro_res
68,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
69,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
70,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
71,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
72,0.040957458,0.208041964,0.607514,0.796750479,0.798692823,0.085945464,0.710360351,1.072546458,0.317510722,0.97472672,0.1854193,0.399671928,1.138712817,0.341455366,0.286849811
73,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
74,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
75,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
76,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
77,0.042883363,0.198135179,0.595227588,0.77621327,0.691039474,0.059232682,0.746469903,1.070627178,0.303976775,0.956844701,0.19384745,0.402892931,1.151197763,0.338299406,0.25156378
