Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--hydrogen_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--h2_edge--commodity,edges--h2_edge--unidirectional,edges--h2_edge--has_capacity,edges--h2_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSHydrogen,BR_AM_wood_H2,BR_AM,Biomass,TRUE,3.1,0,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_AM,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_AM,Electricity,TRUE,FALSE,elec_BR_AM,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AM
BECCSHydrogen,BR_BA_wood_H2,BR_BA,Biomass,TRUE,3.1,0,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_BA,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_BA,Electricity,TRUE,FALSE,elec_BR_BA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_BA
BECCSHydrogen,BR_CE_wood_H2,BR_CE,Biomass,TRUE,3.1,0,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_CE,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_CE,Electricity,TRUE,FALSE,elec_BR_CE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CE
BECCSHydrogen,BR_DF_wood_H2,BR_DF,Biomass,TRUE,3.1,0,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_DF,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_DF,Electricity,TRUE,FALSE,elec_BR_DF,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_DF
BECCSHydrogen,BR_ES_wood_H2,BR_ES,Biomass,TRUE,3.1,0,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_ES,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_ES,Electricity,TRUE,FALSE,elec_BR_ES,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_ES
BECCSHydrogen,BR_GO_wood_H2,BR_GO,Biomass,TRUE,3.1,0,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_GO,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_GO,Electricity,TRUE,FALSE,elec_BR_GO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_GO
BECCSHydrogen,BR_MA_wood_H2,BR_MA,Biomass,TRUE,3.1,0,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_MA,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_MA,Electricity,TRUE,FALSE,elec_BR_MA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MA
BECCSHydrogen,BR_MT_wood_H2,BR_MT,Biomass,TRUE,3.1,0,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_MT,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_MT,Electricity,TRUE,FALSE,elec_BR_MT,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MT
BECCSHydrogen,BR_MS_wood_H2,BR_MS,Biomass,TRUE,3.1,0,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_MS,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_MS,Electricity,TRUE,FALSE,elec_BR_MS,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MS
BECCSHydrogen,BR_MG_wood_H2,BR_MG,Biomass,TRUE,3.1,0,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_MG,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_MG,Electricity,TRUE,FALSE,elec_BR_MG,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MG
BECCSHydrogen,BR_PA_wood_H2,BR_PA,Biomass,TRUE,3.1,0,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_PA,153.16,10855170,195393.06,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_PA,Electricity,TRUE,FALSE,elec_BR_PA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PA
