Time_Index,Demand_MW,Demand_heat,Demand_H2_z2,Demand_H2_z3,Demand_NG_z1,Demand_NG_z2,Demand_NG_z3,Demand_Gasoline_z1,Demand_Gasoline_z2,Demand_Gasoline_z3,Demand_JetFuel_z1,Demand_JetFuel_z2,Demand_JetFuel_z3,Demand_Diesel_z1,Demand_Diesel_z2,Demand_Diesel_z3,Demand_Zero
160,85151.19884,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
161,86497.6448,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
162,84961.31543,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
163,82162.93273,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
164,78737.3594,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
165,75538.11173,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
166,72054.99797,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
167,71124.76109,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
168,72514.36237,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
169,70089.99243,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
170,68051.14335,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
171,67002.9486,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
172,66308.62746,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
173,66306.70945,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
174,67545.74662,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
175,70184.93414,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
176,75191.91017,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
177,83047.13727,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
178,85836.88891,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
179,86174.45941,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
180,85314.23004,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
181,81952.91018,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
182,83510.3377,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
183,84270.83033,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
184,84770.47302,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
185,86069.92763,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
186,84363.85401,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
187,81007.32919,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
188,77766.84422,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
189,75046.14109,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
190,71786.47598,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
191,70853.36208,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
192,72295.70875,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
193,69533.76832,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
194,67483.41115,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
195,66226.15285,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
196,65419.62789,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
197,65099.31952,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
198,65270.98179,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
199,66323.97158,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
200,67703.98279,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
201,70306.72804,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
202,70147.53286,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
203,70717.18307,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
204,69928.87924,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
205,67563.00874,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
206,67631.09825,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
207,67755.76917,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
208,68404.05796,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
209,70097.66449,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
210,70970.36095,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
211,71189.01456,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
212,69811.88038,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
213,68302.40321,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
214,66194.50562,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
215,66488.9208,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
216,68337.88647,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
217,66186.83356,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
218,64058.79682,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
219,62575.21285,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
220,61680.45923,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
221,61470.43668,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
222,61816.63824,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
223,62222.29824,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
224,62328.74803,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
225,62469.72207,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
226,61051.35058,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
227,61071.48973,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
228,60506.63455,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
229,59543.79143,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
230,59644.48717,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
231,60204.54731,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
232,61897.19483,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
233,64074.14094,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
234,66592.49356,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
235,67838.24378,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
236,67047.06293,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
237,65899.13144,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
238,64453.90775,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
239,64948.75541,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
240,65930.77867,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
241,63692.45611,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
242,61718.81952,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
243,60666.78873,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
244,60170.98207,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
245,60645.69058,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
246,62218.46221,8700,7365.93,1811.94,0,0,0,0,0,0,0,0,0,0,0,0,0
