Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,,,,,,
156,85301.76295,90438.54388,95005.40059,98497.95708,8700,0,,,,,,
157,82141.83458,87088.32801,91486.00955,94849.18737,8700,0,,,,,,
158,84224.79799,89296.72525,93805.92377,97254.3855,8700,0,,,,,,
159,84939.25827,90054.20956,94601.65862,98079.37288,8700,0,,,,,,
160,85151.19884,90278.91296,94837.70883,98324.10068,8700,0,,,,,,
161,86497.6448,91706.44046,96337.32189,99878.84201,8700,0,,,,,,
162,84961.31543,90077.59498,94626.22493,98104.84229,8700,0,,,,,,
163,82162.93273,87110.69667,91509.50775,94873.54941,8700,0,,,,,,
164,78737.3594,83478.83897,87694.25288,90918.03943,8700,0,,,,,,
165,75538.11173,80086.93603,84131.06971,87223.86771,8700,0,,,,,,
166,72054.99797,76394.07288,80251.72881,83201.91579,8700,0,,,,,,
167,71124.76109,75407.81813,79215.67135,82127.77114,8700,0,,,,,,
168,72514.36237,76881.09972,80763.34893,83732.34392,8700,0,,,,,,
169,70089.99243,74310.73681,78063.19094,80932.92363,8700,0,,,,,,
170,68051.14335,72149.11042,75792.40934,78578.66432,8700,0,,,,,,
171,67002.9486,71037.79451,74624.97553,77368.31371,8700,0,,,,,,
172,66308.62746,70301.66209,73851.67078,76566.58099,8700,0,,,,,,
173,66306.70945,70299.62858,73849.53459,76564.36627,8700,0,,,,,,
174,67545.74662,71613.27924,75229.5204,77995.08265,8700,0,,,,,,
175,70184.93414,74411.39581,78168.93289,81042.55283,8700,0,,,,,,
176,75191.91017,79719.88658,83745.48544,86824.10873,8700,0,,,,,,
177,83047.13727,88048.14706,92494.29639,95894.54051,8700,0,,,,,,
178,85836.88891,91005.89456,95601.40066,99115.8671,8700,0,,,,,,
179,86174.45941,91363.79319,95977.37203,99505.6598,8700,0,,,,,,
180,85314.23004,90451.76173,95019.2859,98512.35283,8700,0,,,,,,
181,81952.91018,86888.02678,91275.59375,94631.03634,8700,0,,,,,,
182,83510.3377,88539.24092,93010.18892,96429.39811,8700,0,,,,,,
183,84270.83033,89345.5296,93857.1926,97307.53905,8700,0,,,,,,
