Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
87,0,2108.22,1734.17,1590.77,18196.23,1635.96,4.4,707.52,4144.45,3426.03,7604.67,1474.55,3087.25,6059.33,1649.13,977.39,7019.98,14576.76,11504.49,9469.75,5824.38,360.68,5551.44,12706.82,20.88,12158.82,1308.28
88,0,2105.64,1700.74,1537.86,18239.22,1473.71,4.4,710.58,4149.13,3483.94,7447.68,1478.56,3073.22,5614.98,1635.52,919.91,7179.08,11783.42,11021.15,9031.73,5734.65,349.48,5625.59,12449.53,19.78,12159.15,1307.23
89,0,2103.13,1677.38,1518.01,17937.81,1336.79,4.4,711.32,4142.03,3580.02,6874.32,1451.84,2930.01,5446.98,1589.25,933.95,7443.04,11220.48,10979.74,8478.84,5723.99,339.33,5511.29,11998.19,19.78,12115.4,1306.57
90,0,2111.57,1537.66,1517.84,17508.75,1290.63,4.4,715.3,4143.59,3559.79,6958.01,1453.58,2928.13,5443.23,1476.06,979.09,7532.7,11488.96,10988.77,7776.17,5120.18,330.23,5554.59,12191.13,19.78,12142.74,1308.72
91,0,2149.95,1507.23,1518.98,17516.67,1329.35,4.4,714.71,4137.88,3546.72,7342.57,1444.25,2931.69,5443.55,1296.33,972.96,6991.92,11768.42,10432.22,7139.48,5094.96,323.41,6089.61,12407.92,21.39,12210.24,1303.9
92,0,2370.4,1457.79,1343.21,16891.86,2098.2,25.2,811.68,4194.31,3542.41,7741.82,1435.61,2940,5546.91,1327.16,1117.24,6896.68,9909.51,10263.06,8202.08,5100.66,312.9,5749.26,11848.12,44.29,12013.7,1326.6
93,2.19,2776.98,1381.5,916.15,13368.93,2782.85,161.28,1148.27,4648.46,3416.24,11507.52,1688.3,3274.42,6024.93,1473.58,1293.57,5905.4,8217.55,10572.01,7350.92,5104.51,293.41,4705.32,10006.44,107.22,13273.61,1486.19
94,27.78,3108.28,1392.48,848.88,11025.77,3178.09,339.64,1499.73,5117.97,3410.96,14365.81,2280.33,4072.62,6340.84,1222.01,1348.87,5006.5,8685.66,11022.35,6472.2,5039.48,279.1,4811.75,8473.34,176.29,14998.08,1682.03
95,81.7,3395.08,1489.83,874.61,8108.02,3200.42,488.34,1781.21,5726.91,4098.18,14804.26,2786.53,4962.08,6630.18,962.1,1351.22,3530,9297.04,11480.44,4836.41,4671.26,282.4,5283.77,8933.32,231.62,16769.53,1865.55
96,130.55,3646.74,1559.64,842.26,6753.07,3198.03,603.91,1948.46,6234.44,4441.75,15349.43,3232.84,5696.32,6960.23,821.99,1383.13,2677.26,10088.77,11719.28,3845.2,4834.43,300.7,5886.81,9891.07,266.59,18112.77,2001.79
97,169.48,3699.61,1568.77,866.19,6169.3,3206.44,657.82,1930.01,6524.69,4453.3,15202.15,3531.23,6160.23,7148.12,746.02,1402.96,2480.17,10923.45,12004.52,3461.07,4817.42,246.73,6606.3,10091.54,274.73,18811.32,2068.69
98,186.74,3585.09,1649.76,861.99,5490.24,3070.01,659.81,1785.73,6579.46,4401.23,15039.15,3611.67,6326.24,7134.66,677.07,1349.99,2256.71,11069,12245.23,3246.98,4853.79,226.47,6800.56,9974.69,250.55,18846.37,2019.78
99,176.96,3411.68,1632.12,831.72,5426.9,2874.5,605.51,1665.01,6379.72,4306.04,14721.29,3474.38,6196.05,7464.66,671.53,1368.79,2288.12,10441.07,12415.33,3242.93,4842.28,180.12,6546.29,9597.37,217.85,18304.68,1957.3
