pair_index,dataset,volt_class,capacity_mva,region_1,region_2,province_pair_english
18,new,345kV,8692.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,new,765kV,0.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,new,HVDC,0.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,newest,154kV,4520.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,newest,345kV,4346.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,newest,765kV,0.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
18,newest,HVDC,0.0,광주광역시,전북특별자치도,Gwangju–Jeonbuk
19,new,154kV,0.0,대구광역시,울산광역시,Daegu–Ulsan
19,new,345kV,4346.0,대구광역시,울산광역시,Daegu–Ulsan
19,new,765kV,0.0,대구광역시,울산광역시,Daegu–Ulsan
19,new,HVDC,0.0,대구광역시,울산광역시,Daegu–Ulsan
19,newest,154kV,0.0,대구광역시,울산광역시,Daegu–Ulsan
19,newest,345kV,4346.0,대구광역시,울산광역시,Daegu–Ulsan
19,newest,765kV,0.0,대구광역시,울산광역시,Daegu–Ulsan
19,newest,HVDC,0.0,대구광역시,울산광역시,Daegu–Ulsan
20,new,154kV,5876.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,new,345kV,0.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,new,765kV,0.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,new,HVDC,0.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,newest,154kV,5876.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,newest,345kV,0.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,newest,765kV,0.0,대전광역시,세종특별자치시,Daejeon–Sejong
20,newest,HVDC,0.0,대전광역시,세종특별자치시,Daejeon–Sejong
21,new,154kV,5424.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,new,345kV,8692.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,new,765kV,0.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,new,HVDC,0.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,newest,154kV,5424.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,newest,345kV,8692.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,newest,765kV,0.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
21,newest,HVDC,0.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
22,new,154kV,0.0,대전광역시,충청남도,Daejeon–Chungnam
22,new,345kV,4346.0,대전광역시,충청남도,Daejeon–Chungnam
22,new,765kV,0.0,대전광역시,충청남도,Daejeon–Chungnam
22,new,HVDC,0.0,대전광역시,충청남도,Daejeon–Chungnam
22,newest,154kV,0.0,대전광역시,충청남도,Daejeon–Chungnam
22,newest,345kV,4346.0,대전광역시,충청남도,Daejeon–Chungnam
22,newest,765kV,0.0,대전광역시,충청남도,Daejeon–Chungnam
22,newest,HVDC,0.0,대전광역시,충청남도,Daejeon–Chungnam
23,new,154kV,904.0,대전광역시,충청북도,Daejeon–Chungbuk
23,new,345kV,4346.0,대전광역시,충청북도,Daejeon–Chungbuk
23,new,765kV,0.0,대전광역시,충청북도,Daejeon–Chungbuk
23,new,HVDC,0.0,대전광역시,충청북도,Daejeon–Chungbuk
23,newest,154kV,904.0,대전광역시,충청북도,Daejeon–Chungbuk
23,newest,345kV,4346.0,대전광역시,충청북도,Daejeon–Chungbuk
23,newest,765kV,0.0,대전광역시,충청북도,Daejeon–Chungbuk
23,newest,HVDC,0.0,대전광역시,충청북도,Daejeon–Chungbuk
24,new,154kV,0.0,부산광역시,울산광역시,Busan–Ulsan
24,new,345kV,17384.0,부산광역시,울산광역시,Busan–Ulsan
24,new,765kV,0.0,부산광역시,울산광역시,Busan–Ulsan
24,new,HVDC,0.0,부산광역시,울산광역시,Busan–Ulsan
24,newest,154kV,0.0,부산광역시,울산광역시,Busan–Ulsan
24,newest,345kV,17384.0,부산광역시,울산광역시,Busan–Ulsan
24,newest,765kV,0.0,부산광역시,울산광역시,Busan–Ulsan
24,newest,HVDC,0.0,부산광역시,울산광역시,Busan–Ulsan
25,new,154kV,2624.0,서울특별시,인천광역시,Seoul–Incheon
25,new,345kV,4092.0,서울특별시,인천광역시,Seoul–Incheon
25,new,765kV,0.0,서울특별시,인천광역시,Seoul–Incheon
25,new,HVDC,0.0,서울특별시,인천광역시,Seoul–Incheon
25,newest,154kV,3484.0,서울특별시,인천광역시,Seoul–Incheon
25,newest,345kV,4092.0,서울특별시,인천광역시,Seoul–Incheon
25,newest,765kV,0.0,서울특별시,인천광역시,Seoul–Incheon
25,newest,HVDC,0.0,서울특별시,인천광역시,Seoul–Incheon
26,new,154kV,1808.0,세종특별자치시,충청남도,Sejong–Chungnam
26,new,345kV,0.0,세종특별자치시,충청남도,Sejong–Chungnam
26,new,765kV,0.0,세종특별자치시,충청남도,Sejong–Chungnam
26,new,HVDC,0.0,세종특별자치시,충청남도,Sejong–Chungnam
26,newest,154kV,1808.0,세종특별자치시,충청남도,Sejong–Chungnam
26,newest,345kV,0.0,세종특별자치시,충청남도,Sejong–Chungnam
26,newest,765kV,0.0,세종특별자치시,충청남도,Sejong–Chungnam
26,newest,HVDC,0.0,세종특별자치시,충청남도,Sejong–Chungnam
27,new,154kV,904.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,new,345kV,4346.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,new,765kV,0.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,new,HVDC,0.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,newest,154kV,904.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,newest,345kV,4346.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,newest,765kV,0.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,newest,HVDC,0.0,세종특별자치시,충청북도,Sejong–Chungbuk
28,new,154kV,1808.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,new,345kV,8692.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,new,765kV,0.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,new,HVDC,0.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,newest,154kV,1808.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,newest,345kV,17384.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,newest,765kV,0.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
28,newest,HVDC,0.0,전라남도,전북특별자치도,Jeonnam–Jeonbuk
29,new,154kV,0.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,new,345kV,0.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,new,765kV,0.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,new,HVDC,900.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,newest,154kV,0.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,newest,345kV,0.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,newest,765kV,0.0,전라남도,제주특별자치도,Jeonnam–Jeju
29,newest,HVDC,900.0,전라남도,제주특별자치도,Jeonnam–Jeju
30,new,154kV,1356.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,new,345kV,4346.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,new,765kV,0.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,new,HVDC,0.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
30,newest,154kV,1356.0,전북특별자치도,충청남도,Jeonbuk–Chungnam
