pair_index,dataset,volt_class,capacity_mva,region_1,region_2,province_pair_english
21,new,HVDC,0.0,대전광역시,전북특별자치도,Daejeon–Jeonbuk
22,old,154kV,0.0,대전광역시,충청남도,Daejeon–Chungnam
22,old,345kV,4000.0,대전광역시,충청남도,Daejeon–Chungnam
22,old,765kV,0.0,대전광역시,충청남도,Daejeon–Chungnam
22,old,HVDC,0.0,대전광역시,충청남도,Daejeon–Chungnam
22,new,154kV,0.0,대전광역시,충청남도,Daejeon–Chungnam
22,new,345kV,4346.0,대전광역시,충청남도,Daejeon–Chungnam
22,new,765kV,0.0,대전광역시,충청남도,Daejeon–Chungnam
22,new,HVDC,0.0,대전광역시,충청남도,Daejeon–Chungnam
23,old,154kV,0.0,대전광역시,충청북도,Daejeon–Chungbuk
23,old,345kV,4000.0,대전광역시,충청북도,Daejeon–Chungbuk
23,old,765kV,0.0,대전광역시,충청북도,Daejeon–Chungbuk
23,old,HVDC,0.0,대전광역시,충청북도,Daejeon–Chungbuk
23,new,154kV,904.0,대전광역시,충청북도,Daejeon–Chungbuk
23,new,345kV,4346.0,대전광역시,충청북도,Daejeon–Chungbuk
23,new,765kV,0.0,대전광역시,충청북도,Daejeon–Chungbuk
23,new,HVDC,0.0,대전광역시,충청북도,Daejeon–Chungbuk
24,old,154kV,0.0,부산광역시,울산광역시,Busan–Ulsan
24,old,345kV,4000.0,부산광역시,울산광역시,Busan–Ulsan
24,old,765kV,0.0,부산광역시,울산광역시,Busan–Ulsan
24,old,HVDC,0.0,부산광역시,울산광역시,Busan–Ulsan
24,new,154kV,0.0,부산광역시,울산광역시,Busan–Ulsan
24,new,345kV,17384.0,부산광역시,울산광역시,Busan–Ulsan
24,new,765kV,0.0,부산광역시,울산광역시,Busan–Ulsan
24,new,HVDC,0.0,부산광역시,울산광역시,Busan–Ulsan
25,old,154kV,3600.0,서울특별시,인천광역시,Seoul–Incheon
25,old,345kV,8000.0,서울특별시,인천광역시,Seoul–Incheon
25,old,765kV,0.0,서울특별시,인천광역시,Seoul–Incheon
25,old,HVDC,0.0,서울특별시,인천광역시,Seoul–Incheon
25,new,154kV,3484.0,서울특별시,인천광역시,Seoul–Incheon
25,new,345kV,4092.0,서울특별시,인천광역시,Seoul–Incheon
25,new,765kV,0.0,서울특별시,인천광역시,Seoul–Incheon
25,new,HVDC,0.0,서울특별시,인천광역시,Seoul–Incheon
26,old,154kV,1800.0,세종특별자치시,충청남도,Sejong–Chungnam
26,old,345kV,0.0,세종특별자치시,충청남도,Sejong–Chungnam
26,old,765kV,0.0,세종특별자치시,충청남도,Sejong–Chungnam
26,old,HVDC,0.0,세종특별자치시,충청남도,Sejong–Chungnam
26,new,154kV,1808.0,세종특별자치시,충청남도,Sejong–Chungnam
26,new,345kV,0.0,세종특별자치시,충청남도,Sejong–Chungnam
26,new,765kV,0.0,세종특별자치시,충청남도,Sejong–Chungnam
26,new,HVDC,0.0,세종특별자치시,충청남도,Sejong–Chungnam
27,old,154kV,900.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,old,345kV,4000.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,old,765kV,0.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,old,HVDC,0.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,new,154kV,904.0,세종특별자치시,충청북도,Sejong–Chungbuk
27,new,345kV,4346.0,세종특별자치시,충청북도,Sejong–Chungbuk
