Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
68,2.538,1385.786,865.089,419.313,5367.751,550.779,21.0,563.243,2084.328,1177.478,9570.97,462.417,2104.019,14876.015,321.486,1281.869,1404.349,13288.655,4279.059,5694.458,6924.024,189.008,2238.145,4247.11,22.0,10728.439,1119.196
69,0.0,1377.776,842.669,418.765,5311.921,562.777,21.0,564.941,2082.051,1337.561,10196.176,459.448,2079.989,14087.116,352.068,1457.531,1391.851,13507.0,4273.386,5832.628,6951.068,205.157,2320.544,4341.306,22.0,10089.177,1013.28
70,0.0,1294.27,832.905,418.402,5330.59,632.314,21.0,584.082,2082.638,1344.09,10113.719,461.61,2051.511,14079.221,461.439,1481.804,1087.992,12967.866,4278.645,5735.743,6986.189,205.615,2300.953,4362.393,22.0,10259.523,1014.599
71,0.0,1134.128,837.287,418.19,5443.546,919.583,21.0,571.873,2078.505,1321.492,9409.011,463.417,2095.466,14229.509,616.681,1547.091,954.048,12436.28,4279.676,5471.362,6963.635,214.3,2079.009,4087.298,22.0,9499.775,899.045
72,0.0,994.84,841.72,419.034,5852.233,1084.108,21.0,566.136,1983.548,1295.288,8402.37,461.027,2110.189,14385.29,623.322,1305.187,846.392,11485.534,4274.51,5200.646,6961.449,222.368,1720.614,3114.601,21.5,9458.319,898.36
73,0.0,997.746,846.412,419.575,5901.303,956.075,21.0,566.517,1953.656,985.408,7161.016,462.111,2149.447,14419.509,621.302,1155.365,914.146,10262.975,4317.671,4997.002,6939.952,227.465,1481.296,2701.789,21.0,9260.371,901.583
74,0.0,993.277,836.169,419.169,5941.739,874.549,21.0,561.863,1955.79,1098.957,6806.452,463.564,2146.214,14325.013,631.061,927.215,838.733,9109.766,4316.534,4871.233,6915.95,224.672,1364.456,2273.977,20.5,8185.648,1113.603
75,0.0,986.437,825.923,417.003,5882.553,738.14,21.0,539.087,1947.847,1291.558,6367.534,460.001,2142.119,13956.711,624.702,835.531,799.44,7895.127,4324.02,5011.043,6922.418,214.276,1245.506,2284.726,20.0,7634.035,1268.45
76,0.0,993.86,825.998,399.211,5938.535,591.202,21.0,541.179,1952.43,1036.677,6349.374,462.429,2146.077,12985.515,593.244,816.092,1307.607,7879.361,4326.315,5149.452,6928.279,205.4,1202.718,2290.351,19.5,6824.983,900.898
77,0.0,993.541,827.155,399.506,5317.066,692.663,21.0,541.646,1957.589,891.646,6396.875,459.797,2147.567,12642.215,636.046,761.331,1505.547,7889.435,4328.362,5490.534,6935.593,197.607,1182.09,2266.901,19.0,6632.613,769.171
78,0.0,1011.329,827.194,399.173,4619.285,838.171,21.2,563.178,1959.642,895.273,6475.436,459.533,2143.806,12438.562,665.802,838.249,1669.705,7907.004,4349.369,5119.737,6885.754,191.482,1200.284,2265.428,24.308,6705.937,768.01
79,0.204,1095.225,828.092,400.243,2430.73,1407.164,37.601,685.73,1882.227,932.501,6720.026,513.121,2173.57,12418.132,893.869,1064.054,2133.922,7405.339,4480.247,5272.123,6876.112,183.341,1422.336,2276.495,49.477,6258.332,783.659
80,6.055,1195.513,835.992,410.254,1607.4,2074.604,82.398,833.689,2003.795,901.531,7553.488,693.185,2317.84,11436.782,1088.082,1128.197,2211.417,7033.692,4582.261,5844.472,6912.732,165.452,1851.908,2437.234,84.241,6620.558,736.673
81,27.17,1279.874,852.833,422.893,1820.276,2555.874,99.628,978.255,2124.544,872.071,8623.439,914.234,2534.844,9980.927,1194.898,1257.519,2003.277,7487.382,4769.95,6255.642,6369.062,160.822,2286.55,2443.045,115.972,6937.939,725.857
82,46.049,1330.771,862.15,428.666,1978.648,2704.571,162.721,1087.237,2298.688,931.139,9861.266,1113.223,2783.289,9235.057,1209.95,1455.87,962.73,7554.22,4898.811,6186.31,5584.474,164.647,2658.749,2577.25,141.409,7217.02,770.13
83,57.054,1383.308,863.996,424.296,2226.698,2791.409,275.36,1148.974,2475.648,1035.117,10346.559,1258.119,2955.999,8191.053,1316.566,1795.189,895.985,7712.844,4901.714,5566.766,4854.352,163.981,2971.028,2761.285,158.298,7692.345,818.922
84,77.953,1387.705,868.177,429.052,2798.875,2885.277,277.772,1188.481,2415.626,1075.828,10861.749,1321.366,3167.801,7590.907,1176.853,1810.862,1505.32,7576.694,4964.681,5217.126,4407.157,156.183,2893.544,2807.264,164.407,7600.76,848.238
85,98.543,1367.284,900.124,438.404,2799.895,2736.699,215.286,1186.243,2193.376,1048.669,11445.291,1319.597,3145.991,7415.713,1059.853,1809.729,1667.325,7448.504,4983.923,4906.817,4125.843,154.352,2867.156,2854.535,158.501,7164.986,820.055
86,87.376,1332.636,929.097,442.439,2687.494,2466.372,245.069,1121.623,2408.875,998.413,11456.368,1227.908,2868.893,8084.216,978.765,1735.941,1523.128,7310.49,4950.317,4710.76,4182.235,162.5,2897.359,3033.863,144.617,7788.719,789.202
87,78.797,1255.823,920.113,437.319,2986.108,2266.937,186.57,1012.853,2571.253,953.849,11065.049,1233.602,2848.698,8667.855,863.071,1563.32,1316.355,7635.737,4810.509,5224.712,5093.371,183.66,2834.972,2941.014,121.558,7846.566,755.306
88,79.68,1170.258,903.588,433.019,4008.811,2230.121,114.572,876.909,2491.89,913.257,10399.564,1193.318,2749.502,9453.963,683.164,1331.606,1361.174,7936.477,4641.664,5052.712,5871.48,180.538,2606.878,2784.46,93.652,7870.743,737.011
89,63.711,1078.865,885.072,422.057,5106.276,2028.541,52.908,737.216,2311.557,1020.628,8619.561,1009.881,2549.68,9567.442,452.25,1415.085,1727.468,9424.04,4491.416,4714.363,6758.149,178.73,2188.176,2696.569,60.639,8196.641,768.169
90,43.832,1066.544,840.844,415.655,5934.154,1550.855,47.369,622.556,2153.098,1108.947,7909.771,785.769,2384.008,11560.723,216.981,1425.635,1128.91,11275.782,4354.848,4367.302,6917.766,181.061,1800.96,2598.559,32.103,8215.889,839.182
91,18.329,1311.231,856.978,409.827,5945.091,1268.675,24.716,593.296,2322.445,1183.53,8801.495,561.711,2234.464,12852.711,295.743,1465.025,946.425,12122.847,4297.582,4499.072,7062.276,173.933,1775.191,3053.762,22.0,8326.997,720.108
